,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
0,1992-09-01,sh.000001,826.9600,832.8400,807.3700,824.9600,823.2700,7869400,87529176.0000,3,0.079253,1,0.205279,0
1,1992-09-02,sh.000001,803.8300,826.6800,783.9600,787.6700,824.9600,9392400,140242144.0000,3,0.093108,1,-4.520224,0
2,1992-09-03,sh.000001,749.2200,781.3300,742.7400,764.1100,787.6700,16373000,206650592.0000,3,0.162307,1,-2.991100,0
3,1992-09-04,sh.000001,759.5400,776.1800,749.4600,753.5800,764.1100,9877200,130811504.0000,3,0.097913,1,-1.378070,0
4,1992-09-07,sh.000001,745.6900,788.1500,700.7900,702.8300,753.5800,8710500,135455440.0000,3,0.086348,1,-6.734520,0
5,1992-09-08,sh.000001,653.3600,702.8300,595.4200,640.1200,702.8300,10063400,130824888.0000,3,0.099759,1,-8.922502,0
6,1992-09-09,sh.000001,613.4400,643.7700,608.0600,635.7400,640.1200,11190800,131749928.0000,3,0.110935,1,-0.684248,0
7,1992-09-10,sh.000001,643.2100,695.1800,622.0100,692.7800,635.7400,11310900,142572832.0000,3,0.111595,1,8.972227,0
8,1992-09-11,sh.000001,773.2200,789.1800,719.3900,776.2900,692.7800,11729400,165860416.0000,3,0.115724,1,12.054320,0
9,1992-09-14,sh.000001,762.8200,793.3600,714.9300,734.9800,776.2900,13727000,195830032.0000,3,0.135432,1,-5.321465,0
10,1992-09-15,sh.000001,727.1100,751.2200,694.3200,738.1600,734.9800,11937300,157671776.0000,3,0.117775,1,0.432664,0
11,1992-09-16,sh.000001,762.2900,776.6800,738.1600,769.0400,738.1600,14392600,203054672.0000,3,0.141999,1,4.183376,0
12,1992-09-17,sh.000001,770.6500,779.5600,751.0800,761.7200,769.0400,9418100,144745024.0000,3,0.092920,1,-0.951837,0
13,1992-09-18,sh.000001,715.8900,761.7200,715.8900,754.4000,761.7200,6170700,81858480.0000,3,0.060881,1,-0.960976,0
14,1992-09-21,sh.000001,740.9700,760.1300,730.3000,733.4400,754.4000,8172800,116545248.0000,3,0.080634,1,-2.778370,0
15,1992-09-22,sh.000001,730.7100,736.9000,716.2300,722.7000,733.4400,6955200,91083472.0000,3,0.068621,1,-1.464331,0
16,1992-09-23,sh.000001,719.4100,725.5900,708.5000,712.3700,722.7000,6559000,82873136.0000,3,0.064712,1,-1.429364,0
17,1992-09-24,sh.000001,720.5100,735.4900,709.6300,730.5700,712.3700,7778700,92839184.0000,3,0.076746,1,2.554854,0
18,1992-09-25,sh.000001,730.2800,735.7500,723.5600,729.7900,730.5700,7653600,76255512.0000,3,0.075511,1,-0.106770,0
19,1992-09-28,sh.000001,724.4500,729.7900,721.1900,724.7000,729.7900,4255700,40798092.0000,3,0.041987,1,-0.697456,0
20,1992-09-29,sh.000001,719.9900,728.4200,707.8200,710.6300,724.7000,6483000,82381424.0000,3,0.063596,1,-1.941494,0
21,1992-09-30,sh.000001,703.6300,710.6300,698.9100,702.3200,710.6300,8977800,96512328.0000,3,0.088069,1,-1.169385,0
22,1992-10-05,sh.000001,676.4700,702.3200,668.9000,679.6200,702.3200,9411600,109752840.0000,3,0.092324,1,-3.232147,0
23,1992-10-06,sh.000001,682.9200,692.6200,664.2700,674.2400,679.6200,7161300,97525768.0000,3,0.070250,1,-0.791620,0
24,1992-10-07,sh.000001,676.5600,676.8400,664.4300,665.2600,674.2400,5383000,60947452.0000,3,0.052805,1,-1.331867,0
25,1992-10-08,sh.000001,648.9600,671.6700,640.2200,643.6900,665.2600,8453200,96306256.0000,3,0.082923,1,-3.242342,0
26,1992-10-09,sh.000001,664.4400,668.7300,643.6800,660.2900,643.6900,9394700,114917312.0000,3,0.092158,1,2.578877,0
27,1992-10-12,sh.000001,687.4500,713.7700,661.9900,690.5700,660.2900,11075200,149660960.0000,3,0.108643,1,4.585868,0
28,1992-10-13,sh.000001,694.1000,701.3000,669.5600,673.9900,690.5700,11223800,158357824.0000,3,0.109671,1,-2.400918,0
29,1992-10-14,sh.000001,661.0700,673.9400,648.8400,663.7500,673.9900,10552500,142121792.0000,3,0.103111,1,-1.519309,0
30,1992-10-15,sh.000001,654.3300,667.0000,650.9200,663.5300,663.7500,7575800,106075264.0000,3,0.074025,1,-0.033141,0
31,1992-10-16,sh.000001,664.0000,668.5700,661.2000,664.7500,663.5300,6885100,91893600.0000,3,0.067276,1,0.183861,0
32,1992-10-19,sh.000001,643.8000,667.4600,632.4000,632.4000,664.7500,8103900,100268784.0000,3,0.079185,1,-4.866488,0
33,1992-10-20,sh.000001,634.4300,663.6500,604.5000,616.2900,632.4000,9460900,103067024.0000,3,0.092445,1,-2.547446,0
34,1992-10-21,sh.000001,597.1500,616.2900,577.2300,585.7000,616.2900,9192700,107881920.0000,3,0.089824,1,-4.963567,0
35,1992-10-22,sh.000001,557.0300,584.9100,535.7900,539.8000,585.7000,13872800,149734176.0000,3,0.135555,1,-7.836781,0
36,1992-10-23,sh.000001,534.4100,577.5200,524.0700,559.7300,539.8000,11498100,114178024.0000,3,0.112351,1,3.692107,0
